register_id,direction,transport_mode,total_value
82,Exports,Sea,20000000
83,Exports,Sea,19000000
84,Exports,Sea,45000000
85,Exports,Sea,28000000
86,Exports,Sea,25000000
87,Exports,Sea,36000000
88,Exports,Sea,15000000
89,Exports,Sea,18000000
90,Exports,Sea,25000000
91,Exports,Sea,21000000
92,Exports,Sea,17000000
93,Exports,Air,27000000
94,Exports,Air,30000000
95,Exports,Air,11000000
96,Exports,Air,10000000
97,Exports,Air,16000000
98,Exports,Air,37000000
99,Exports,Air,15000000
100,Exports,Air,20000000
101,Exports,Air,25000000
102,Exports,Air,9000000
103,Exports,Air,15000000
104,Exports,Air,22000000
105,Exports,Air,32000000
106,Exports,Air,30000000
107,Exports,Air,18000000
108,Exports,Air,23000000
109,Exports,Air,10000000
110,Exports,Air,12000000
111,Exports,Air,24000000
112,Exports,Air,38000000
113,Exports,Air,13000000
114,Exports,Air,18000000
115,Exports,Air,25000000
116,Exports,Air,14000000
117,Exports,Air,16000000
118,Exports,Air,28000000
119,Exports,Air,44000000
120,Exports,Air,27000000
121,Exports,Air,15000000
122,Exports,Air,24000000
123,Exports,Air,31000000
124,Exports,Air,7000000
125,Exports,Air,20000000
126,Exports,Air,41000000
127,Exports,Air,15000000
128,Exports,Air,26000000
129,Exports,Air,32000000
130,Exports,Air,10000000
131,Exports,Air,8000000
132,Exports,Air,39000000
133,Exports,Air,32000000
134,Exports,Air,18000000
135,Exports,Air,20000000
136,Exports,Air,41000000
137,Exports,Air,15000000
138,Exports,Air,26000000
139,Exports,Air,21000000
140,Exports,Air,34000000
141,Exports,Air,18000000
142,Exports,Air,26000000
143,Exports,Air,30000000
144,Exports,Air,13000000
145,Exports,Air,18000000
146,Exports,Air,30000000
147,Exports,Air,31000000
148,Exports,Air,16000000
149,Exports,Air,7000000
150,Exports,Air,31000000
151,Exports,Air,18000000
152,Exports,Air,10000000
153,Exports,Sea,39000000
154,Exports,Sea,46000000
155,Exports,Sea,35000000
156,Exports,Sea,19000000
157,Exports,Sea,6000000
158,Exports,Sea,21000000
159,Exports,Sea,34000000
160,Exports,Sea,14000000
161,Exports,Sea,24000000
162,Exports,Sea,18000000
163,Exports,Sea,16000000
164,Exports,Sea,12000000
165,Exports,Sea,20000000
166,Exports,Sea,60000000
167,Exports,Sea,48000000
168,Exports,Sea,18000000
169,Exports,Sea,32000000
170,Exports,Sea,5000000
171,Exports,Sea,16000000
172,Exports,Sea,22000000
173,Exports,Sea,37000000
174,Exports,Sea,25000000
175,Exports,Sea,29000000
176,Exports,Sea,25000000
177,Exports,Sea,21000000
178,Exports,Sea,22000000
179,Exports,Sea,17000000
180,Exports,Sea,47000000
181,Exports,Sea,40000000
182,Exports,Sea,26000000
183,Exports,Sea,46000000
184,Exports,Sea,19000000
185,Exports,Sea,13000000
186,Exports,Sea,21000000
187,Exports,Sea,42000000
188,Exports,Sea,29000000
189,Exports,Sea,16000000
190,Exports,Sea,29000000
191,Exports,Air,14000000
192,Exports,Air,13000000
193,Exports,Air,28000000
194,Exports,Air,34000000
195,Exports,Air,35000000
196,Exports,Air,29000000
197,Exports,Air,29000000
198,Exports,Air,14000000
199,Exports,Air,7000000
200,Exports,Air,24000000
201,Exports,Air,55000000
202,Exports,Air,26000000
203,Exports,Air,25000000
204,Exports,Air,17000000
205,Exports,Sea,18000000
206,Exports,Sea,13000000
207,Exports,Sea,28000000
208,Exports,Sea,34000000
209,Exports,Sea,30000000
210,Exports,Sea,25000000
211,Exports,Sea,21000000
212,Exports,Sea,11000000
213,Exports,Sea,11000000
214,Exports,Sea,42000000
215,Exports,Sea,48000000
216,Exports,Sea,14000000
217,Exports,Sea,12000000
218,Exports,Sea,25000000
219,Exports,Sea,15000000
220,Exports,Sea,6000000
221,Exports,Air,30000000
222,Exports,Air,30000000
223,Exports,Air,72000000
224,Exports,Air,16000000
225,Exports,Air,13000000
226,Exports,Air,18000000
227,Exports,Air,38000000
228,Exports,Air,22000000
229,Exports,Air,47000000
230,Exports,Air,12000000
231,Exports,Air,18000000
232,Exports,Air,19000000
233,Exports,Air,35000000
234,Exports,Air,37000000
235,Exports,Air,27000000
236,Exports,Air,48000000
237,Exports,Air,23000000
238,Exports,Air,22000000
239,Exports,Sea,36000000
240,Exports,Sea,12000000
241,Exports,Sea,15000000
242,Exports,Sea,33000000
243,Exports,Sea,55000000
244,Exports,Sea,14000000
245,Exports,Sea,32000000
246,Exports,Sea,13000000
247,Exports,Sea,27000000
248,Exports,Sea,11000000
249,Exports,Sea,44000000
250,Exports,Sea,56000000
251,Exports,Sea,44000000
252,Exports,Sea,19000000
253,Exports,Sea,19000000
254,Exports,Sea,21000000
255,Exports,Sea,47000000
256,Exports,Sea,21000000
257,Exports,Sea,37000000
258,Exports,Sea,20000000
259,Exports,Sea,25000000
260,Exports,Sea,8000000
261,Exports,Rail,28000000
262,Exports,Rail,12000000
263,Exports,Rail,23000000
264,Exports,Rail,63000000
265,Exports,Rail,22000000
266,Exports,Rail,24000000
267,Exports,Rail,21000000
268,Exports,Rail,18000000
269,Exports,Rail,22000000
270,Exports,Rail,36000000
271,Exports,Rail,29000000
272,Exports,Rail,30000000
273,Exports,Rail,17000000
274,Exports,Rail,22000000
275,Exports,Rail,21000000
276,Exports,Rail,21000000
277,Exports,Rail,40000000
278,Exports,Rail,66000000
279,Exports,Rail,52000000
280,Exports,Rail,29000000
281,Exports,Rail,14000000
282,Exports,Rail,12000000
283,Exports,Rail,12000000
284,Exports,Rail,25000000
285,Exports,Air,43000000
286,Exports,Air,37000000
287,Exports,Air,19000000
288,Exports,Air,18000000
289,Exports,Air,19000000
290,Exports,Air,15000000
291,Exports,Air,41000000
292,Exports,Air,41000000
293,Exports,Air,33000000
294,Exports,Air,28000000
295,Exports,Air,24000000
296,Exports,Air,20000000
297,Exports,Air,12000000
298,Exports,Air,33000000
299,Exports,Air,41000000
300,Exports,Air,40000000
301,Exports,Air,11000000
302,Exports,Air,25000000
303,Exports,Air,15000000
304,Exports,Air,17000000
305,Exports,Air,52000000
306,Exports,Air,20000000
307,Exports,Air,27000000
308,Exports,Air,14000000
309,Exports,Air,59000000
310,Exports,Air,32000000
311,Exports,Air,23000000
312,Exports,Air,35000000
313,Exports,Air,15000000
314,Exports,Air,23000000
315,Exports,Air,12000000
316,Exports,Air,52000000
317,Exports,Air,21000000
318,Exports,Air,37000000
319,Exports,Air,19000000
320,Exports,Air,27000000
321,Exports,Air,32000000
322,Exports,Air,23000000
323,Exports,Air,34000000
324,Exports,Air,17000000
325,Exports,Air,40000000
326,Exports,Air,25000000
327,Exports,Air,29000000
328,Exports,Air,24000000
329,Exports,Air,36000000
330,Exports,Air,25000000
331,Exports,Air,35000000
332,Exports,Air,42000000
333,Exports,Air,38000000
334,Exports,Air,25000000
335,Exports,Air,45000000
336,Exports,Air,13000000
337,Exports,Air,62000000
338,Exports,Air,19000000
339,Exports,Air,28000000
340,Exports,Air,32000000
341,Exports,Air,12000000
342,Exports,Air,27000000
343,Exports,Air,14000000
344,Exports,Air,61000000
345,Exports,Air,37000000
346,Exports,Air,39000000
347,Exports,Air,22000000
348,Exports,Air,21000000
349,Exports,Air,33000000
350,Exports,Air,19000000
351,Exports,Air,48000000
352,Exports,Air,18000000
353,Exports,Air,57000000
354,Exports,Air,53000000
355,Exports,Air,21000000
356,Exports,Air,62000000
357,Exports,Air,25000000
358,Exports,Air,40000000
359,Exports,Air,31000000
360,Exports,Air,54000000
361,Exports,Air,37000000
362,Exports,Air,23000000
363,Exports,Air,24000000
364,Exports,Air,5000000
365,Exports,Air,43000000
366,Exports,Air,35000000
367,Exports,Air,43000000
368,Exports,Air,45000000
369,Exports,Air,24000000
370,Exports,Air,46000000
371,Exports,Air,13000000
372,Exports,Air,6000000
373,Exports,Air,35000000
374,Exports,Air,52000000
375,Exports,Air,38000000
376,Exports,Air,40000000
377,Exports,Air,25000000
378,Exports,Air,11000000
379,Exports,Air,26000000
380,Exports,Air,17000000
381,Exports,Air,36000000
382,Exports,Air,34000000
383,Exports,Air,47000000
384,Exports,Air,40000000
385,Exports,Air,20000000
386,Exports,Air,19000000
387,Exports,Air,52000000
388,Exports,Air,76000000
389,Exports,Air,41000000
390,Exports,Air,18000000
391,Exports,Air,30000000
392,Exports,Air,22000000
393,Exports,Air,32000000
394,Exports,Air,30000000
395,Exports,Air,39000000
396,Exports,Air,22000000
397,Exports,Air,17000000
398,Exports,Air,22000000
399,Exports,Air,15000000
400,Exports,Air,60000000
401,Exports,Air,19000000
402,Exports,Air,49000000
403,Exports,Air,27000000
404,Exports,Air,14000000
405,Exports,Air,38000000
406,Exports,Air,32000000
407,Exports,Air,34000000
408,Exports,Air,22000000
409,Exports,Air,34000000
410,Exports,Air,39000000
411,Exports,Air,24000000
412,Exports,Air,35000000
413,Exports,Air,17000000
414,Exports,Air,54000000
415,Exports,Air,30000000
416,Exports,Air,54000000
417,Exports,Air,23000000
418,Exports,Air,30000000
419,Exports,Air,29000000
420,Exports,Air,23000000
421,Exports,Air,22000000
422,Exports,Air,24000000
423,Exports,Air,66000000
424,Exports,Air,17000000
425,Exports,Air,34000000
426,Exports,Air,20000000
427,Exports,Air,39000000
428,Exports,Air,13000000
429,Exports,Air,12000000
430,Exports,Air,101000000
431,Exports,Air,32000000
432,Exports,Air,29000000
433,Exports,Air,30000000
434,Exports,Air,23000000
435,Exports,Air,52000000
436,Exports,Air,14000000
437,Exports,Air,35000000
438,Exports,Air,49000000
439,Exports,Air,36000000
440,Exports,Air,38000000
441,Exports,Air,19000000
442,Exports,Air,65000000
443,Exports,Air,26000000
444,Exports,Air,47000000
445,Exports,Air,25000000
446,Exports,Air,31000000
447,Exports,Air,21000000
448,Exports,Air,32000000
449,Exports,Air,51000000
450,Exports,Air,9000000
451,Exports,Air,38000000
452,Exports,Air,14000000
453,Exports,Air,23000000
454,Exports,Air,17000000
455,Exports,Rail,30000000
456,Exports,Rail,35000000
457,Exports,Rail,33000000
458,Exports,Rail,28000000
459,Exports,Rail,31000000
460,Exports,Rail,17000000
461,Exports,Rail,75000000
462,Exports,Rail,18000000
463,Exports,Rail,35000000
464,Exports,Rail,30000000
465,Exports,Rail,26000000
466,Exports,Rail,36000000
467,Exports,Rail,29000000
468,Exports,Rail,28000000
469,Exports,Rail,38000000
470,Exports,Rail,33000000
471,Exports,Rail,18000000
472,Exports,Rail,14000000
473,Exports,Rail,38000000
474,Exports,Rail,32000000
475,Exports,Rail,44000000
476,Exports,Rail,26000000
477,Exports,Rail,41000000
478,Exports,Rail,27000000
479,Exports,Rail,25000000
480,Exports,Rail,59000000
481,Exports,Rail,22000000
482,Exports,Rail,65000000
483,Exports,Rail,21000000
484,Exports,Rail,37000000
485,Exports,Rail,33000000
486,Exports,Rail,16000000
487,Exports,Rail,37000000
488,Exports,Rail,18000000
489,Exports,Rail,46000000
490,Exports,Rail,49000000
491,Exports,Rail,39000000
492,Exports,Rail,26000000
493,Exports,Rail,36000000
494,Exports,Rail,44000000
495,Exports,Rail,6000000
496,Exports,Rail,42000000
497,Exports,Rail,14000000
498,Exports,Rail,37000000
499,Exports,Rail,41000000
500,Exports,Rail,34000000
501,Exports,Rail,24000000
502,Exports,Rail,13000000
503,Exports,Rail,50000000
504,Exports,Rail,25000000
505,Exports,Rail,38000000
506,Exports,Rail,28000000
507,Exports,Rail,12000000
508,Exports,Rail,40000000
509,Exports,Rail,43000000
510,Exports,Rail,55000000
511,Exports,Rail,30000000
512,Exports,Rail,37000000
513,Exports,Rail,31000000
514,Exports,Rail,20000000
515,Exports,Rail,46000000
516,Exports,Rail,28000000
517,Exports,Rail,56000000
518,Exports,Rail,17000000
519,Exports,Rail,60000000
520,Exports,Rail,22000000
521,Exports,Rail,39000000
522,Exports,Rail,45000000
523,Exports,Rail,19000000
524,Exports,Rail,58000000
525,Exports,Rail,20000000
526,Exports,Rail,22000000
527,Exports,Rail,35000000
528,Exports,Rail,33000000
529,Exports,Rail,44000000
530,Exports,Rail,28000000
531,Exports,Rail,76000000
532,Exports,Rail,25000000
533,Exports,Rail,41000000
534,Exports,Rail,28000000
535,Exports,Rail,36000000
536,Exports,Rail,34000000
537,Exports,Rail,42000000
538,Exports,Rail,55000000
539,Exports,Rail,53000000
540,Exports,Rail,52000000
541,Exports,Rail,32000000
542,Exports,Rail,21000000
543,Exports,Rail,25000000
544,Exports,Rail,28000000
545,Exports,Rail,53000000
546,Exports,Rail,18000000
547,Exports,Rail,38000000
548,Exports,Rail,24000000
549,Exports,Rail,18000000
550,Exports,Rail,54000000
551,Exports,Rail,37000000
552,Exports,Rail,81000000
553,Exports,Rail,30000000
554,Exports,Rail,77000000
555,Exports,Rail,24000000
556,Exports,Rail,25000000
557,Exports,Rail,44000000
558,Exports,Rail,21000000
559,Exports,Rail,23000000
560,Exports,Rail,73000000
561,Exports,Rail,39000000
562,Exports,Rail,15000000
563,Exports,Rail,32000000
564,Exports,Rail,38000000
565,Exports,Rail,23000000
566,Exports,Rail,48000000
567,Exports,Rail,35000000
568,Exports,Rail,42000000
569,Exports,Rail,21000000
570,Exports,Rail,22000000
571,Exports,Rail,57000000
572,Exports,Rail,45000000
573,Exports,Rail,62000000
574,Exports,Rail,51000000
575,Exports,Rail,50000000
576,Exports,Rail,31000000
577,Exports,Rail,18000000
578,Exports,Rail,41000000
579,Exports,Rail,39000000
580,Exports,Rail,26000000
581,Exports,Sea,21000000
582,Exports,Sea,47000000
583,Exports,Sea,22000000
584,Exports,Sea,50000000
585,Exports,Sea,49000000
586,Exports,Sea,52000000
587,Exports,Sea,76000000
588,Exports,Sea,23000000
589,Exports,Sea,32000000
590,Exports,Sea,27000000
591,Exports,Sea,35000000
592,Exports,Sea,56000000
593,Exports,Sea,64000000
594,Exports,Sea,30000000
595,Exports,Sea,23000000
596,Exports,Sea,44000000
597,Exports,Sea,27000000
598,Exports,Sea,17000000
599,Exports,Sea,47000000
600,Exports,Sea,31000000
601,Exports,Sea,13000000
602,Exports,Sea,38000000
603,Exports,Sea,50000000
604,Exports,Sea,14000000
605,Exports,Sea,33000000
606,Exports,Sea,70000000
607,Exports,Sea,44000000
608,Exports,Sea,23000000
609,Exports,Sea,19000000
610,Exports,Sea,24000000
611,Exports,Sea,53000000
612,Exports,Sea,43000000
613,Exports,Sea,73000000
614,Exports,Sea,17000000
615,Exports,Sea,57000000
616,Exports,Sea,43000000
617,Exports,Sea,55000000
618,Exports,Sea,31000000
619,Exports,Air,45000000
620,Exports,Air,74000000
621,Exports,Air,21000000
622,Exports,Air,54000000
623,Exports,Air,21000000
624,Exports,Air,38000000
625,Exports,Air,27000000
626,Exports,Air,55000000
627,Exports,Air,88000000
628,Exports,Air,18000000
629,Exports,Air,39000000
630,Exports,Air,24000000
631,Exports,Air,48000000
632,Exports,Air,36000000
633,Exports,Air,57000000
634,Exports,Air,67000000
635,Exports,Air,25000000
636,Exports,Air,34000000
637,Exports,Air,26000000
638,Exports,Air,44000000
639,Exports,Air,48000000
640,Exports,Air,52000000
641,Exports,Air,61000000
642,Exports,Air,72000000
643,Exports,Air,47000000
644,Exports,Air,31000000
645,Exports,Air,38000000
646,Exports,Air,34000000
647,Exports,Air,63000000
648,Exports,Air,38000000
649,Exports,Air,59000000
650,Exports,Air,47000000
651,Exports,Air,35000000
652,Exports,Air,32000000
653,Exports,Air,34000000
654,Exports,Air,49000000
655,Exports,Air,90000000
656,Exports,Air,41000000
657,Exports,Air,46000000
658,Exports,Air,56000000
659,Exports,Air,89000000
660,Exports,Air,38000000
661,Exports,Air,54000000
662,Exports,Air,92000000
663,Exports,Air,27000000
664,Exports,Air,57000000
665,Exports,Air,31000000
666,Exports,Air,43000000
667,Exports,Air,30000000
668,Exports,Air,56000000
669,Exports,Air,61000000
670,Exports,Air,54000000
671,Exports,Air,40000000
672,Exports,Air,36000000
673,Exports,Air,49000000
674,Exports,Air,46000000
675,Exports,Air,45000000
676,Exports,Air,82000000
677,Exports,Air,21000000
678,Exports,Air,55000000
679,Exports,Air,45000000
680,Exports,Air,56000000
681,Exports,Air,46000000
682,Exports,Air,53000000
683,Exports,Air,86000000
684,Exports,Air,28000000
685,Exports,Air,60000000
686,Exports,Air,28000000
687,Exports,Air,70000000
688,Exports,Air,11000000
689,Exports,Air,44000000
690,Exports,Air,73000000
691,Exports,Air,31000000
692,Exports,Air,57000000
693,Exports,Air,26000000
694,Exports,Air,57000000
695,Exports,Air,22000000
696,Exports,Air,34000000
697,Exports,Air,50000000
698,Exports,Air,25000000
699,Exports,Air,53000000
700,Exports,Air,28000000
701,Exports,Air,52000000
702,Exports,Air,32000000
703,Exports,Air,72000000
704,Exports,Air,92000000
705,Exports,Air,20000000
706,Exports,Air,51000000
707,Exports,Air,40000000
708,Exports,Air,43000000
709,Exports,Air,23000000
710,Exports,Air,64000000
711,Exports,Air,78000000
712,Exports,Air,37000000
713,Exports,Air,50000000
714,Exports,Air,28000000
715,Exports,Air,56000000
716,Exports,Air,35000000
717,Exports,Air,58000000
718,Exports,Air,70000000
719,Exports,Air,36000000
720,Exports,Air,60000000
721,Exports,Air,24000000
722,Exports,Air,58000000
723,Exports,Air,33000000
724,Exports,Air,88000000
725,Exports,Air,78000000
726,Exports,Air,34000000
727,Exports,Air,62000000
728,Exports,Air,24000000
729,Exports,Air,34000000
730,Exports,Air,42000000
731,Exports,Air,58000000
732,Exports,Air,66000000
733,Exports,Air,25000000
734,Exports,Air,55000000
735,Exports,Air,19000000
736,Exports,Air,53000000
737,Exports,Air,42000000
738,Exports,Air,78000000
739,Exports,Air,77000000
740,Exports,Air,31000000
741,Exports,Air,51000000
742,Exports,Air,42000000
743,Exports,Air,33000000
744,Exports,Air,34000000
745,Exports,Air,61000000
746,Exports,Air,33000000
747,Exports,Air,36000000
748,Exports,Air,56000000
749,Exports,Air,71000000
750,Exports,Air,56000000
751,Exports,Air,40000000
752,Exports,Air,39000000
753,Exports,Air,42000000
754,Exports,Air,40000000
755,Exports,Air,42000000
756,Exports,Air,41000000
757,Exports,Air,46000000
758,Exports,Air,17000000
759,Exports,Air,85000000
760,Exports,Air,62000000
761,Exports,Air,27000000
762,Exports,Air,51000000
763,Exports,Air,24000000
764,Exports,Air,51000000
765,Exports,Air,37000000
766,Exports,Air,12000000
767,Exports,Air,42000000
768,Exports,Air,14000000
769,Exports,Air,12000000
770,Exports,Air,35000000
771,Exports,Air,19000000
772,Exports,Air,38000000
773,Exports,Air,32000000
774,Exports,Air,25000000
775,Exports,Air,38000000
776,Exports,Air,46000000
777,Exports,Air,34000000
778,Exports,Air,34000000
779,Exports,Air,65000000
780,Exports,Air,15000000
781,Exports,Air,75000000
782,Exports,Air,17000000
783,Exports,Air,116000000
784,Exports,Air,51000000
785,Exports,Air,42000000
786,Exports,Air,100000000
787,Exports,Air,22000000
788,Exports,Air,18000000
789,Exports,Air,9000000
790,Exports,Air,25000000
791,Exports,Air,22000000
792,Exports,Air,39000000
793,Exports,Air,52000000
794,Exports,Air,19000000
795,Exports,Air,24000000
796,Exports,Air,6000000
797,Exports,Air,29000000
798,Exports,Air,44000000
799,Exports,Air,65000000
800,Exports,Air,102000000
801,Exports,Air,30000000
802,Exports,Air,41000000
803,Exports,Air,15000000
804,Exports,Air,22000000
805,Exports,Air,43000000
806,Exports,Air,38000000
807,Exports,Air,127000000
808,Exports,Air,68000000
809,Exports,Air,71000000
810,Exports,Air,34000000
811,Exports,Air,48000000
812,Exports,Air,45000000
813,Exports,Air,59000000
814,Exports,Air,140000000
815,Exports,Air,22000000
816,Exports,Air,49000000
817,Exports,Air,28000000
818,Exports,Air,35000000
819,Exports,Air,48000000
820,Exports,Air,35000000
821,Exports,Air,86000000
822,Exports,Air,21000000
823,Exports,Air,37000000
824,Exports,Air,25000000
825,Exports,Air,72000000
826,Exports,Air,57000000
827,Exports,Air,26000000
828,Exports,Air,75000000
829,Exports,Air,62000000
830,Exports,Air,48000000
831,Exports,Air,17000000
832,Exports,Air,30000000
833,Exports,Air,68000000
834,Exports,Air,41000000
835,Exports,Air,86000000
836,Exports,Air,12000000
837,Exports,Air,91000000
838,Exports,Air,23000000
839,Exports,Air,32000000
840,Exports,Air,41000000
841,Exports,Air,44000000
842,Exports,Air,16000000
843,Exports,Air,46000000
844,Exports,Air,54000000
845,Exports,Air,27000000
846,Exports,Air,35000000
847,Exports,Air,60000000
848,Exports,Air,26000000
849,Exports,Air,94000000
850,Exports,Air,20000000
851,Exports,Air,38000000
852,Exports,Air,14000000
853,Exports,Air,41000000
854,Exports,Air,92000000
855,Exports,Air,28000000
856,Exports,Air,98000000
857,Exports,Air,19000000
858,Exports,Air,44000000
859,Exports,Air,18000000
860,Exports,Air,50000000
861,Exports,Air,51000000
862,Exports,Air,67000000
863,Exports,Air,43000000
864,Exports,Air,22000000
865,Exports,Air,43000000
866,Exports,Air,24000000
867,Exports,Air,46000000
868,Exports,Air,65000000
869,Exports,Air,83000000
870,Exports,Air,108000000
871,Exports,Air,21000000
872,Exports,Air,44000000
873,Exports,Air,20000000
874,Exports,Air,41000000
875,Exports,Air,52000000
876,Exports,Air,30000000
877,Exports,Air,94000000
878,Exports,Air,33000000
879,Exports,Air,39000000
880,Exports,Air,24000000
881,Exports,Air,63000000
882,Exports,Air,72000000
883,Exports,Air,32000000
884,Exports,Air,66000000
885,Exports,Air,39000000
886,Exports,Air,40000000
887,Exports,Air,22000000
888,Exports,Air,54000000
889,Exports,Air,96000000
890,Exports,Air,40000000
891,Exports,Air,23000000
892,Exports,Air,19000000
893,Exports,Air,47000000
894,Exports,Air,26000000
895,Exports,Air,32000000
896,Exports,Air,105000000
897,Exports,Air,28000000
898,Exports,Air,84000000
899,Exports,Air,23000000
900,Exports,Air,28000000
901,Exports,Air,27000000
902,Exports,Air,16000000
903,Exports,Air,67000000
904,Exports,Air,36000000
905,Exports,Air,91000000
906,Exports,Air,47000000
907,Exports,Air,46000000
908,Exports,Air,18000000
909,Exports,Air,40000000
910,Exports,Air,63000000
911,Exports,Air,21000000
912,Exports,Air,59000000
913,Exports,Air,16000000
914,Exports,Air,19000000
915,Exports,Air,9000000
916,Exports,Air,50000000
917,Exports,Air,31000000
918,Exports,Air,10000000
919,Exports,Air,7000000
920,Exports,Air,15000000
921,Exports,Air,13000000
922,Exports,Air,50000000
923,Exports,Air,38000000
924,Exports,Air,33000000
925,Exports,Air,23000000
926,Exports,Air,8000000
927,Exports,Air,5000000
928,Exports,Air,6000000
929,Exports,Air,13000000
930,Exports,Air,53000000
931,Exports,Air,42000000
932,Exports,Air,13000000
933,Exports,Air,26000000
934,Exports,Air,25000000
935,Exports,Air,22000000
936,Exports,Air,9000000
937,Exports,Air,45000000
938,Exports,Air,36000000
939,Exports,Air,29000000
940,Exports,Air,19000000
941,Exports,Air,8000000
942,Exports,Air,21000000
943,Exports,Air,11000000
944,Exports,Air,52000000
945,Exports,Air,37000000
946,Exports,Air,27000000
947,Exports,Air,14000000
948,Exports,Air,9000000
949,Exports,Air,15000000
950,Exports,Air,29000000
951,Exports,Air,47000000
952,Exports,Air,31000000
953,Exports,Air,17000000
954,Exports,Air,13000000
955,Exports,Air,14000000
956,Exports,Air,27000000
957,Exports,Air,11000000
958,Exports,Air,33000000
959,Exports,Air,32000000
960,Exports,Air,21000000
961,Exports,Air,17000000
962,Exports,Air,11000000
963,Exports,Air,16000000
964,Exports,Air,12000000
965,Exports,Air,51000000
966,Exports,Air,32000000
967,Exports,Air,13000000
968,Exports,Air,18000000
969,Exports,Air,22000000
970,Exports,Air,21000000
971,Exports,Air,42000000
972,Exports,Air,37000000
973,Exports,Air,19000000
974,Exports,Air,11000000
975,Exports,Air,33000000
976,Exports,Air,15000000
977,Exports,Air,16000000
978,Exports,Air,6000000
979,Exports,Air,58000000
980,Exports,Air,15000000
981,Exports,Air,13000000
982,Exports,Air,17000000
983,Exports,Air,9000000
984,Exports,Air,20000000
985,Exports,Air,11000000
986,Exports,Air,28000000
987,Exports,Air,34000000
988,Exports,Air,21000000
989,Exports,Air,19000000
990,Exports,Air,9000000
991,Exports,Air,20000000
992,Exports,Air,9000000
993,Exports,Air,35000000
994,Exports,Air,59000000
995,Exports,Air,29000000
996,Exports,Air,17000000
997,Exports,Air,23000000
998,Exports,Air,16000000
999,Exports,Air,22000000
1000,Exports,Air,38000000
1001,Exports,Air,15000000
1002,Exports,Air,7000000
1003,Exports,Air,29000000
1004,Exports,Air,11000000
1005,Exports,Air,8000000
1006,Exports,Air,8000000
1007,Exports,Air,42000000
1008,Exports,Air,23000000
1009,Exports,Air,11000000
1010,Exports,Air,23000000
1011,Exports,Air,16000000
1012,Exports,Road,13000000
1013,Exports,Road,9000000
1014,Exports,Road,42000000
1015,Exports,Road,21000000
1016,Exports,Road,44000000
1017,Exports,Road,32000000
1018,Exports,Road,21000000
1019,Exports,Road,8000000
1020,Exports,Road,8000000
1021,Exports,Road,36000000
1022,Exports,Road,30000000
1023,Exports,Road,18000000
1024,Exports,Road,19000000
1025,Exports,Road,19000000
1026,Exports,Road,20000000
1027,Exports,Road,9000000
1028,Exports,Road,52000000
1029,Exports,Road,22000000
1030,Exports,Road,16000000
1031,Exports,Road,30000000
1032,Exports,Rail,14000000
1033,Exports,Rail,11000000
1034,Exports,Rail,17000000
1035,Exports,Rail,37000000
1036,Exports,Rail,19000000
1037,Exports,Rail,15000000
1038,Exports,Rail,28000000
1039,Exports,Rail,16000000
1040,Exports,Rail,17000000
1041,Exports,Rail,37000000
1042,Exports,Rail,34000000
1043,Exports,Rail,31000000
